FID,fid,the_geom,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_
Global_MAR_Inventory.262,262,POINT (34.713885 31.853911),281,Yavne-3,Asia,Israel,31.853911,34.713885,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,Agricultural,Water Quality Management,"<a href=""http://www.gsi.gov.il/_uploads/ftp/GsiReport/2009/Goren-Orly-GSI-12-2009.pdf"" target=""_blank"">Goren, O. 2009. Geochemical Evolution and Manganese Mobilization in Organic Enriched Water Recharging Calcareous-Sandstone Aquifier; Clues from the Sha"
Global_MAR_Inventory.263,263,POINT (34.70719 31.84786),282,Yavne-4,Asia,Israel,31.84786,34.70719,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,Agricultural,Water Quality Management,"<a href=""http://www.gsi.gov.il/_uploads/ftp/GsiReport/2009/Goren-Orly-GSI-12-2009.pdf"" target=""_blank"">Goren, O. 2009. Geochemical Evolution and Manganese Mobilization in Organic Enriched Water Recharging Calcareous-Sandstone Aquifier; Clues from the Sha"
Global_MAR_Inventory.264,264,POINT (34.76879 31.954099),283,Soreq-2,Asia,Israel,31.954099,34.76879,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,Agricultural,Water Quality Management,"<a href=""http://www.switchtraining.eu/fileadmin/template/projects/switch_training/db/event_upload_folder/1/2-Presentation_Avi_AHARONI_Tel_Aviv_SAT_workshop_,_November_.pdf"" target=""_blank"">Aharoni, A. 2007. SAT as Practiced Historically in Israel: Princi"
Global_MAR_Inventory.265,265,POINT (34.919873 32.460961),284,Menashe,Asia,Israel,32.460961,34.919873,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Storm water,Domestic,Physical Aquifer Management,"Dalin, J. S. 1984. Nahaley Menashe Project - A Case Study. http://info.ngwa.org/GWOL/pdf/850139205.pdf."
Global_MAR_Inventory.266,266,POINT (125.424377 24.732382),285,Bora,Asia,Japan,24.732382,125.424377,2004,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,no data,no data,"<a href=""https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en"" target=""_blank"">Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>"
Global_MAR_Inventory.267,267,POINT (125.402511 24.734194),286,Fukuzato,Asia,Japan,24.734194,125.402511,1983,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Agricultural,Maximize Natural Storage,"Hanada, J., and T. Nakano. 2013. The Rural Development through Application of Underground Dams - Case Study of Miyako-Jima. In Integrated Water Resource Management for Food Security, 5–6. Hokkaido: Hokkaido University. www.eng.hokudai.ac.jp/labo/UBNWTR"
Global_MAR_Inventory.268,268,POINT (127.73298 26.100777),287,Giiza,Asia,Japan,26.100777,127.73298,1992,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Agricultural,Physical Aquifer Management,"<a href=""https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en"" target=""_blank"">Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>"
Global_MAR_Inventory.269,269,POINT (127.80761 26.727622),288,Ie,Asia,Japan,26.727622,127.80761,1991,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,no data,no data,"<a href=""https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en"" target=""_blank"">Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>"
Global_MAR_Inventory.689,689,POINT (-66.3217163085937 -30.351546261929),752,Nuestra Señora de Fátima,South America,Argentina,-30.35154626,-66.32171631,2007,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Reclaimed wastewater,Domestic,Physical Aquifer Management,no data
Global_MAR_Inventory.271,271,POINT (129.783152 32.561744),290,Kabashima,Asia,Japan,32.561744,129.783152,1983,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en"" target=""_blank"">Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>"
